date,title,venue,city,description
Mon 25  - Fri 29 Nov 2019,Mastering Project Management,New York,New York,This Oxford Mastering Project Management training seminar demonstrates the practice of project management hard and soft skills. It provides a range of tools and techniques that project managers can use...
Sun 24 Nov - Sun 01 Dec 2019,Annual Administrators & Special Assistant Summit,New York,New York,Annual Administrators & Special Assistant Summit the theme is Developing Excellent Administrators & Administrators of Excellence. As the global quest for effective administrators increases day by day...
Mon 02 Dec 2019,Business Travel Hall of Fame,The St. Regis,New York,Business Travel Hall of Fame brings together over 250 of the travel industry's leading executives to pay tribute to those being inducted reflect on their accomplishments and look at the future of business...
Mon 02 Dec 2019,Annual Business Travel Trends & Forecasts,Sheraton  Times Square Hotel,New York,Annual Business Travel Trends & Forecasts is a one-day buyer-focused conference designed to unite corporate travel professionals and provide a platform for information sharing. Through expert-led sessions...
Mon 02 Dec 2019,Lyceum Society Holiday Luncheon,The  Academy of Sciences,New York,Lyceum Society Holiday Luncheon comprises the Academy's retired and semi-retired Members. Talks cover various scientific fields. All Academy Members are welcome.
Mon 02 Dec 2019,Distressed Investing Annual Conference,Harmonie Club,New York,The Distressed Investing Annual Conference is themed as Maximizing Profits in the Distressed Debt Market and this value-packed event will feature special presentations from keynote speakers live panel...
Mon 02 Dec 2019,Ben Graham Conference, Society of Security Analysts,New York,The Ben Graham Conference is a full-day conference which features panels on the current state of value investing both domestic and international challenges and opportunities for value investing in a low-interest...
Mon 02  - Tue 03 Dec 2019,Waters USA,Convene,New York,Waters USA is a series of events are the leading financial data management and technology conferences for information and systems professionals working at financial trading firms around the world.
Mon 02  - Tue 03 Dec 2019,Marketing Analytics and Data Science (MADS),The Westin  at Times Square,New York,Marketing Analytics and Data Science will provide the attendees with the opportunity to gain real-world perspectives on how to pull out trends and insights and apply technology and methods that effectively...
Mon 02  - Tue 03 Dec 2019,Analysis of Sovereign and Country Risk Learning Solution (Moodys Analytics),New York,New York,Analysis of Sovereign and Country Risk Learning Solution course covers the publicly available credit rating methodologies of our sister company Moody's Investors Service for a structured approach to...
Mon 02  - Tue 03 Dec 2019,DIY Market Research Conference (DIYMRXCONF),The Westin  at Times Square,New York,The DIY Market Research Conference will provide the attendees with the opportunity to learn DIY MR solutions methodologies techniques and best practices for extending limited resources and budgets. The...
Tue 03 Dec 2019,Real Estate Construction Contractors Conference,The Graduate Center CU,New York,The Real Estate Construction Contractors Conference will serve as CPAs CFOs and other business and financial professionals in the real estate industry..
Tue 03 Dec 2019,NAFE Women of Excellence Conference,Yale Club of  City,New York,NAFE Women of Excellence Conference will feature trailblazing women who are opening doors for other women. 2019 marks our 21st year of honoring women and this year we recognize 13 successful innovative...
Tue 03 Dec 2019,Advances in Drug Repositioning,The  Academy of Sciences ,New York,Advances in Drug Repositioning is a symposium which will bring together scientists from academia industry and government to discuss best practices for rational drug repositioning with a focus on computational...
Tue 03 Dec 2019,Customer Experience VIP Summit,Pier Sixty ,New York,The Customer Experience VIP Summit will provide the attendees with the opportunity to discover key insights from thought leaders learn from business and technology innovators and network with their peers....
Tue 03 Dec 2019,Debtwire Latin America Forum,New York,New York,Please join Debtwire for the annual Latin America Forum. Experts will cover distressed debt opportunities and the future of the restructuring environment in Brazil Mexico Argentina Venezuela and more....
Tue 03 Dec 2019,V-FI Americas  Summit,DoubleTree by Hilton Hotel Metropolitan -  City ,New York,The V-FI Americas  Summit will cover areas like We Will Look to Provide a Tailor-Made Solution to Help You Promote Your Services to a Room Full of Potential Clients. This event will cover areas like The...
Tue 03 Dec 2019,AIChE Gala,Grand Hyatt  ,New York,The AIChE Gala will underwrite the expansion of women’s leadership programs improve pre-college STEM education for girls and advance retention programs for women engineering undergraduates graduate...
Tue 03 Dec 2019,Value Invest New York,The Times Center ,New York,The inaugural Value Invest New York at the Metropolitan Club was a sold-out event in December 2018 and the second conference will take place at The Times Center on December 3rd 2019. The first event featured...
Tue 03 Dec 2019,New York Asbestos Litigation Conference,The Roosevelt Hotel ,New York,New York Asbestos Litigation Conference is dedicated to providing high-quality continuing legal education to attorneys interested in course offerings.
Fri 29 Nov - Wed 04 Dec 2019,Greater New York Dental Meeting (GNYDM),Jacob K. Javits Convention Center ,New York,Dental Meeting for Better Dentistry
Tue 03  - Wed 04 Dec 2019,Infrastructure Investor New York Summit,Convene Conference Center ,New York,Infrastructure Investor New York Summit will gather investors fund managers and policymakers to debate the trends shaping infra investment in North America and how to drive returns in a market flooded...
Tue 03  - Wed 04 Dec 2019,HITLAB Innovators Summit,New York,New York,The HITLAB Innovators Summit brings together leaders in life sciences medicine technology venture capital and design to discuss digital solutions for pressing health issues. The Summit offers a series...
Tue 03  - Wed 04 Dec 2019,Global Emerging Markets One-on-One Conference,InterContinental  Barclay ,New York,Global Emerging Markets One-on-One Conference over 100 global emerging companies represented by CEO CFO and business management providing insight through one-on-one and small group meetings.
Wed 04 Dec 2019,Hedge Fund Accounting & Taxation Update Conference,TKP  Conference Center ,New York,The Hedge Fund Accounting & Taxation Update Conference provides the attendees with the opportunity to learn to master the latest best practices to successfully handle the dramatic new rules impacting the...
Wed 04 Dec 2019,Independent Sponsors & Capital Providers Dealmakers Meeting (iGlobal Forum),CohnReznick LLP ,New York,Independent Sponsors & Capital Providers Deal makers Meeting will be dedicated to developing partnerships unique to your business model and will provide you with the opportunity to meet exclusively with...
Wed 04 Dec 2019,Performance & Risk Analytics Group Meeting, Society of Security Analysts ,New York,Performance & Risk Analytics Group Meeting brings together performance measurement professionals engaged in the asset management industry. Its diverse membership consists of but is not limited to practitioners...
Wed 04 Dec 2019,Trust and Estate Taxation Conference,UJA-Federation of  ,New York,The Trust and Estate Taxation Conference is a platform for CPAs and other financial advisors as well as attorneys involved in all aspects of estate and trust administration including those who advise...
Wed 04 Dec 2019,Infrastructure Investor Women in Infrastructure New YorkForum,Convene ,New York,Infrastructure Investor's Women in Infrastructure New York Forum features high profile keynote speakers and panel discussions with pioneering women in infrastructure. The forums powerful leaders provide...
Wed 04 Dec 2019,CAPRE Annual New Jersey Apartment Summit,White Eagle Hall,Jersey City,CAPRE Annual New Jersey Apartment Summit this will be our largest apartment summit over the years with active investors and developers attending and participating. This summit will including 40 expert...
Wed 04 Dec 2019,Drug Store News Annual Industry Issues Summit (DSN Annual Industry Issues Summit), Marriott Marquis ,New York,The Drug Store News Annual Industry Issues Summit is a must-attend event for manufacturers/suppliers of retail chain pharmacies throughout the market and it will feature a facilitated leadership discussion...
Tue 03  - Thu 05 Dec 2019,SharePoint & O365 Strategies to Drive Results,YOTEL  ,New York,At SharePoint & O365 Strategies to Drive Results you will learn how your internal communication peers have used innovative engagement strategies to maximize user adoption manage content and governance...
Wed 04  - Thu 05 Dec 2019,Forbes Healthcare Summit,New York,New York,Forbes Healthcare Summit features some of the top minds in healthcare will gather to discuss and debate these colliding forces looking at the whole person. An array of healthcare CEOs scientists billionaires...
Wed 04  - Thu 05 Dec 2019,Vaccines and Immunology Meeting,New York,New York,Vaccines and Immunology Meeting aims at discussing the latest trends in Vaccines & Immunology. The collaborations among the participants from various countries at the conference will serve to generate...
Wed 04  - Thu 05 Dec 2019,Annual Congress on Infectious Diseases,New York,New York,Annual Congress on Infectious Diseases will bring together scientists from the industry academic professors and deans from the universities as well as leaders from healthcare providers policymakers...
